Year,UniqueCarrierCode,Description,NumSecurityProblems,NumPlanesThisYear
2003,AA,American Airlines Inc.,403,912
2003,AS,Alaska Airlines Inc.,320,114
2003,B6,JetBlue Airways,398,55
2003,CO,Continental Air Lines Inc.,250,366
2003,DH,Independence Air,72,150
2003,DL,Delta Air Lines Inc.,70,561
2003,EV,Atlantic Southeast Airlines,128,162
2003,FL,AirTran Airways Corporation,,93
2003,HA,Hawaiian Airlines Inc.,8,28
2003,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),221,147
2003,MQ,American Eagle Airlines Inc.,111,247
2003,NW,Northwest Airlines Inc.,233,445
2003,OO,Skywest Airlines Inc.,334,194
2003,TZ,ATA Airlines d/b/a ATA,169,65
2003,UA,United Air Lines Inc.,29,558
2003,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),,288
2003,WN,Southwest Airlines Co.,766,393
2003,XE,Expressjet Airlines Inc.,414,231
2004,AA,American Airlines Inc.,694,775
2004,AS,Alaska Airlines Inc.,495,111
2004,B6,JetBlue Airways,700,70
2004,CO,Continental Air Lines Inc.,752,363
2004,DH,Independence Air,134,149
2004,DL,Delta Air Lines Inc.,175,536
2004,EV,Atlantic Southeast Airlines,209,143
2004,FL,AirTran Airways Corporation,,90
2004,HA,Hawaiian Airlines Inc.,77,29
2004,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),628,150
2004,MQ,American Eagle Airlines Inc.,167,486
2004,NW,Northwest Airlines Inc.,528,404
2004,OH,Comair Inc.,158,165
2004,OO,Skywest Airlines Inc.,525,215
2004,TZ,ATA Airlines d/b/a ATA,240,66
2004,UA,United Air Lines Inc.,62,532
2004,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),8,327
2004,WN,Southwest Airlines Co.,1988,608
2004,XE,Expressjet Airlines Inc.,733,246
2005,AA,American Airlines Inc.,368,711
2005,AS,Alaska Airlines Inc.,462,112
2005,B6,JetBlue Airways,485,93
2005,CO,Continental Air Lines Inc.,893,353
2005,DH,Independence Air,228,136
2005,DL,Delta Air Lines Inc.,108,533
2005,EV,Atlantic Southeast Airlines,153,180
2005,F9,Frontier Airlines Inc.,9,49
