UniqueCarrier,tailnum,AvgCatchUpTime,iloscWystapien
,N853NW,,
,N854NW,,
,N855NW,,
AA,N386AA,-4.7443,2855
AA,N379AA,-4.2559,2823
AA,N380AA,-4.0436,2739
AQ,N751AL,-6.3351,1930
AQ,N742AL,-6.3275,1963
AQ,N740AL,-6.1966,1876
AS,N590AS,-3.9284,367
AS,N587AS,-3.6799,456
AS,N570AS,-3.3054,1062
B6,N706JB,-6.1923,104
B6,N290JB,-3.9628,299
B6,N548JB,-2.9308,7698
CO,N39418,-5.8632,117
CO,N37419,-5.1720,93
CO,N39416,-4.5470,181
DH,N699BR,-3.8628,2981
DH,N683BR,-3.3469,6042
DH,N680BR,-2.7823,6017
DL,N705TW,-10.3125,17
DL,N701DN,-9.1765,17
DL,N713TW,-7.7368,20
EV,N720EV,-5.1790,7677
EV,N730EV,-4.9370,6594
EV,N723EV,-4.9295,7108
F9,N939FR,-1.1744,5218
F9,N937FR,-1.1048,5292
F9,N938FR,-1.0423,5144
FL,N603AT,-1.9510,8771
FL,N149AT,-1.8294,6355
FL,N929AT,-1.7854,9901
HA,N590HA,-2.1901,2924
HA,N588HA,-2.1605,2941
HA,N587HA,-1.8864,2942
HP,N679AW,-6.9474,58
HP,N836AW,-6.0237,299
HP,N676AW,-5.3001,964
MQ,N329AE,-2.3896,5694
MQ,N317AE,-2.1284,5200
MQ,N313AE,-1.9673,4828
NW,N626AA,-8.4138,30
NW,N615AA,-8.2500,20
NW,N624AA,-7.3333,45
OH,N659CA,-4.9372,4996
OH,N340CA,-4.8449,5943
OH,N668CA,-4.7368,4999
OO,N705SK,-2.6635,6370
OO,N918SW,-2.2232,11558
OO,N954SW,-2.1900,10733
TW,N705TW,-3.2335,3442
TW,N707TW,-3.0695,3932
TW,N713TW,-2.8512,3448
UA,N213UA,-4.2481,5208
UA,N219UA,-4.0373,590
UA,N215UA,-4.0262,5169
US,N909AW,-7.7275,1623
US,N908AW,-7.5621,1506
US,N906AW,-7.3123,1493
WN,N459WN,-6.6778,2759
WN,N226WN,-6.5594,2816
WN,N445WN,-6.4858,2818
XE,N11192,-3.1945,3411
XE,N14198,-3.1899,2745
XE,N11187,-3.1577,3313
YV,N75992,-4.3099,5348
YV,N75994,-4.1831,5095
YV,N37342,-4.1571,5075
