"UniqueCarrierCode","Description","ProblemsPerPlane"
"9E","Pinnacle Airlines Inc.",500
"AA","American Airlines Inc.",338
"AQ","Aloha Airlines Inc.",98
"AS","Alaska Airlines Inc.",621
"B6","JetBlue Airways",831
"CO","Continental Air Lines Inc.",278
"DH","Independence Air",447
"DL","Delta Air Lines Inc.",316
"EV","Atlantic Southeast Airlines",1615
"F9","Frontier Airlines Inc.",1016
"FL","AirTran Airways Corporation",609
"HA","Hawaiian Airlines Inc.",586
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",217
"MQ","American Eagle Airlines Inc.",498
"NW","Northwest Airlines Inc.",493
"OH","Comair Inc.",1098
"OO","Skywest Airlines Inc.",1387
"TZ","ATA Airlines d/b/a ATA",234
"UA","United Air Lines Inc.",318
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",345
"WN","Southwest Airlines Co.",645
"XE","Expressjet Airlines Inc.",854
"YV","Mesa Airlines Inc.",873
