"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2006-01-20",0,NA,NA,0,0,1,0
"2006-01-21",164,164,170,5,16,0,0
"2006-01-29",32,32,47,2,16,0,0
"2006-01-30",25,25,35,2,18,0,0
"2006-01-20",0,NA,NA,0,0,1,0
"2006-01-13",29,57,62,5,15,0,28
"2006-01-05",5,31,34,6,11,0,26
"2006-01-13",49,142,49,10,107,0,0
"2006-01-21",23,48,23,6,43,0,0
"2006-01-02",33,154,140,8,33,0,107
"2006-01-05",8,16,8,10,22,0,0
"2006-01-02",7,138,25,8,129,0,0
"2006-01-13",74,79,77,12,12,0,3
"2006-01-13",1,95,100,5,17,0,94
"2006-01-20",0,NA,NA,0,0,1,0
"2006-01-03",14,26,25,9,16,0,11
"2006-01-05",30,68,30,7,49,0,0
"2006-01-22",0,NA,NA,0,0,1,0
"2006-01-01",10,23,10,6,39,0,0
"2006-01-02",0,NA,NA,0,0,1,0
"2006-01-02",32,142,32,2,128,0,0
"2006-01-02",46,46,50,9,13,0,0
"2006-01-03",47,47,50,5,12,0,0
"2006-01-03",195,195,200,2,7,0,0
"2006-01-13",68,68,75,4,19,0,0
"2006-01-04",0,NA,NA,0,0,1,0
"2006-01-20",2,34,19,5,45,0,17
"2006-02-16",5,23,5,4,37,0,0
"2006-02-16",95,118,95,1,41,0,0
"2006-02-17",18,18,32,6,14,0,0
"2006-02-18",52,58,52,5,23,0,0
"2006-02-20",25,25,40,2,14,0,0
"2006-02-27",15,17,15,3,27,0,0
"2006-02-04",54,54,13,4,62,0,0
"2006-02-11",17,17,5,5,36,0,0
"2006-02-08",22,26,27,4,19,0,4
"2006-02-16",164,376,365,6,24,0,201
"2006-02-04",26,77,28,14,62,0,2
"2006-02-18",7,32,42,10,14,0,25
"2006-02-16",0,NA,NA,0,0,1,0
"2006-02-04",11,32,11,13,27,0,0
"2006-02-16",18,64,51,5,33,0,33
"2006-02-04",16,27,16,6,33,0,0
"2006-02-15",11,19,14,8,26,0,3
"2006-02-16",90,220,144,7,98,0,54
"2006-02-03",15,16,15,7,18,0,0
"2006-02-05",24,24,35,2,21,0,0
"2006-02-06",31,31,42,2,17,0,0
"2006-02-08",43,43,45,2,24,0,0
"2006-02-04",0,NA,NA,0,0,1,0
"2006-03-16",179,179,193,3,22,0,0
"2006-03-23",60,64,60,11,23,0,0
"2006-03-24",20,23,20,4,20,0,0
"2006-03-24",32,40,32,2,24,0,0
"2006-03-24",32,32,40,6,17,0,0
"2006-03-27",25,30,25,6,41,0,0
"2006-03-28",40,46,40,2,28,0,0
"2006-03-28",150,150,152,3,16,0,0
"2006-03-28",52,52,62,4,17,0,0
"2006-03-29",55,58,55,3,23,0,0
